CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
3.17%,232.2MiB / 1.941GiB,11.69%,538kB / 915kB,70.1MB / 16.4kB,47
3.34%,232.5MiB / 1.941GiB,11.70%,543kB / 926kB,70.5MB / 16.4kB,47
1.48%,232.2MiB / 1.941GiB,11.69%,548kB / 934kB,70.5MB / 16.4kB,47
1.40%,232.3MiB / 1.941GiB,11.69%,553kB / 942kB,70.6MB / 16.4kB,47
1.57%,232.2MiB / 1.941GiB,11.68%,563kB / 959kB,70.7MB / 16.4kB,47
4.29%,232.6MiB / 1.941GiB,11.70%,571kB / 972kB,71.7MB / 16.4kB,47
1.27%,232.4MiB / 1.941GiB,11.69%,575kB / 981kB,71.7MB / 16.4kB,47
0.99%,232.4MiB / 1.941GiB,11.69%,580kB / 988kB,72MB / 16.4kB,47
2.75%,232.4MiB / 1.941GiB,11.69%,588kB / 1MB,72.2MB / 16.4kB,47
1.92%,232.3MiB / 1.941GiB,11.69%,594kB / 1.01MB,72.3MB / 16.4kB,47
1.47%,232.1MiB / 1.941GiB,11.68%,599kB / 1.02MB,72.4MB / 16.4kB,47
3.98%,232.7MiB / 1.941GiB,11.71%,606kB / 1.03MB,73.9MB / 16.4kB,47
5.68%,233.6MiB / 1.941GiB,11.75%,613kB / 1.05MB,75.4MB / 16.4kB,47
2.89%,232.3MiB / 1.941GiB,11.69%,618kB / 1.05MB,76.9MB / 16.4kB,47
2.58%,232.3MiB / 1.941GiB,11.69%,624kB / 1.07MB,76.9MB / 16.4kB,47
1.99%,232.4MiB / 1.941GiB,11.70%,629kB / 1.07MB,77.5MB / 16.4kB,47
1.78%,232.3MiB / 1.941GiB,11.69%,634kB / 1.08MB,77.5MB / 16.4kB,47
9.40%,232.9MiB / 1.941GiB,11.72%,642kB / 1.1MB,79.3MB / 16.4kB,47
4.34%,233.8MiB / 1.941GiB,11.76%,649kB / 1.11MB,81.8MB / 16.4kB,47
4.98%,232.9MiB / 1.941GiB,11.72%,653kB / 1.12MB,82.2MB / 16.4kB,47
3.70%,234.2MiB / 1.941GiB,11.78%,661kB / 1.13MB,86.9MB / 16.4kB,47
3.43%,235.2MiB / 1.941GiB,11.83%,667kB / 1.14MB,91.1MB / 16.4kB,47
1.57%,234.5MiB / 1.941GiB,11.80%,672kB / 1.15MB,91.2MB / 16.4kB,47
2.96%,233.4MiB / 1.941GiB,11.74%,681kB / 1.16MB,91.4MB / 16.4kB,47
1.18%,233.5MiB / 1.941GiB,11.75%,684kB / 1.17MB,91.6MB / 16.4kB,47
1.37%,233.4MiB / 1.941GiB,11.74%,689kB / 1.18MB,91.7MB / 16.4kB,47
2.50%,233.6MiB / 1.941GiB,11.76%,695kB / 1.19MB,91.8MB / 16.4kB,47
2.63%,232.4MiB / 1.941GiB,11.69%,701kB / 1.2MB,91.8MB / 16.4kB,47
1.69%,231.8MiB / 1.941GiB,11.67%,706kB / 1.21MB,94.3MB / 16.4kB,47
4.85%,232.7MiB / 1.941GiB,11.71%,718kB / 1.23MB,96.7MB / 16.4kB,47
0.78%,232.3MiB / 1.941GiB,11.69%,722kB / 1.23MB,97.3MB / 16.4kB,47
2.95%,232MiB / 1.941GiB,11.67%,729kB / 1.25MB,97.6MB / 16.4kB,47
2.25%,232MiB / 1.941GiB,11.67%,739kB / 1.26MB,98.2MB / 16.4kB,47
0.90%,232.1MiB / 1.941GiB,11.68%,740kB / 1.27MB,98.6MB / 16.4kB,47
2.41%,231.8MiB / 1.941GiB,11.67%,746kB / 1.28MB,98.6MB / 16.4kB,47
2.03%,231.8MiB / 1.941GiB,11.67%,754kB / 1.29MB,98.9MB / 16.4kB,47
1.67%,232.5MiB / 1.941GiB,11.70%,759kB / 1.3MB,100MB / 16.4kB,47
1.98%,232.3MiB / 1.941GiB,11.69%,768kB / 1.31MB,102MB / 16.4kB,47
1.76%,232.1MiB / 1.941GiB,11.68%,775kB / 1.33MB,102MB / 16.4kB,47
1.51%,232MiB / 1.941GiB,11.68%,780kB / 1.34MB,102MB / 16.4kB,47
1.65%,232.1MiB / 1.941GiB,11.68%,785kB / 1.34MB,103MB / 16.4kB,47
2.96%,232.5MiB / 1.941GiB,11.70%,792kB / 1.36MB,105MB / 16.4kB,47
8.18%,232.7MiB / 1.941GiB,11.71%,797kB / 1.37MB,106MB / 16.4kB,47
46.08%,232.9MiB / 1.941GiB,11.72%,802kB / 1.38MB,110MB / 16.4kB,47
2.98%,232.5MiB / 1.941GiB,11.70%,810kB / 1.39MB,111MB / 16.4kB,47
6.67%,233MiB / 1.941GiB,11.73%,818kB / 1.4MB,115MB / 16.4kB,47
1.93%,232.5MiB / 1.941GiB,11.70%,825kB / 1.41MB,116MB / 16.4kB,47
18.05%,235.2MiB / 1.941GiB,11.84%,830kB / 1.42MB,119MB / 16.4kB,47
0.58%,232.7MiB / 1.941GiB,11.71%,835kB / 1.43MB,120MB / 16.4kB,47
2.66%,232.3MiB / 1.941GiB,11.69%,844kB / 1.45MB,121MB / 16.4kB,47
3.43%,239.2MiB / 1.941GiB,12.04%,851kB / 1.46MB,129MB / 16.4kB,47
1.99%,238.9MiB / 1.941GiB,12.02%,856kB / 1.47MB,131MB / 16.4kB,47
2.38%,234.9MiB / 1.941GiB,11.82%,863kB / 1.48MB,137MB / 16.4kB,47
1.64%,232.3MiB / 1.941GiB,11.69%,872kB / 1.49MB,137MB / 16.4kB,47
3.51%,232.5MiB / 1.941GiB,11.70%,881kB / 1.51MB,140MB / 16.4kB,47
1.61%,231.9MiB / 1.941GiB,11.67%,884kB / 1.52MB,141MB / 16.4kB,47
1.03%,231.5MiB / 1.941GiB,11.65%,888kB / 1.52MB,141MB / 16.4kB,47
3.10%,232.4MiB / 1.941GiB,11.70%,896kB / 1.54MB,145MB / 16.4kB,47
1.45%,231.9MiB / 1.941GiB,11.67%,899kB / 1.54MB,146MB / 16.4kB,47
0.95%,231.8MiB / 1.941GiB,11.67%,905kB / 1.55MB,147MB / 16.4kB,47
3.41%,232.1MiB / 1.941GiB,11.68%,916kB / 1.57MB,148MB / 16.4kB,47
1.59%,232MiB / 1.941GiB,11.67%,920kB / 1.58MB,149MB / 16.4kB,47
4.24%,231.9MiB / 1.941GiB,11.67%,927kB / 1.59MB,150MB / 16.4kB,47
0.89%,231.6MiB / 1.941GiB,11.66%,933kB / 1.6MB,151MB / 16.4kB,47
3.97%,233.4MiB / 1.941GiB,11.74%,938kB / 1.61MB,154MB / 16.4kB,47
1.73%,231.8MiB / 1.941GiB,11.67%,946kB / 1.62MB,155MB / 16.4kB,47
8.24%,232.4MiB / 1.941GiB,11.69%,954kB / 1.64MB,158MB / 16.4kB,47
1.49%,231.5MiB / 1.941GiB,11.65%,959kB / 1.65MB,159MB / 16.4kB,47
0.89%,231.5MiB / 1.941GiB,11.65%,963kB / 1.65MB,159MB / 16.4kB,47
3.33%,231.8MiB / 1.941GiB,11.66%,970kB / 1.66MB,161MB / 16.4kB,47
0.31%,218.6MiB / 1.941GiB,11.00%,987kB / 1.69MB,382MB / 16.4kB,47
0.26%,218.6MiB / 1.941GiB,11.00%,990kB / 1.7MB,382MB / 16.4kB,47
4.00%,218.7MiB / 1.941GiB,11.00%,994kB / 1.7MB,382MB / 16.4kB,47
0.89%,218.7MiB / 1.941GiB,11.00%,999kB / 1.71MB,382MB / 16.4kB,47
1.94%,218.7MiB / 1.941GiB,11.00%,1.01MB / 1.72MB,382MB / 16.4kB,47
1.66%,216.4MiB / 1.941GiB,10.89%,1.01MB / 1.73MB,382MB / 16.4kB,47
2.26%,216.5MiB / 1.941GiB,10.89%,1.02MB / 1.74MB,382MB / 16.4kB,47
5.90%,216.5MiB / 1.941GiB,10.90%,1.02MB / 1.75MB,382MB / 16.4kB,47
2.94%,216.6MiB / 1.941GiB,10.90%,1.03MB / 1.77MB,382MB / 16.4kB,47
2.94%,216MiB / 1.941GiB,10.87%,1.04MB / 1.78MB,382MB / 16.4kB,47
3.03%,215.9MiB / 1.941GiB,10.87%,1.05MB / 1.79MB,382MB / 16.4kB,47
1.33%,215.9MiB / 1.941GiB,10.87%,1.05MB / 1.8MB,382MB / 16.4kB,47
1.13%,215.9MiB / 1.941GiB,10.87%,1.05MB / 1.81MB,382MB / 16.4kB,47
1.99%,216MiB / 1.941GiB,10.87%,1.06MB / 1.82MB,382MB / 16.4kB,47
4.08%,216MiB / 1.941GiB,10.87%,1.07MB / 1.83MB,382MB / 16.4kB,47
