CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
2.63%,190.7MiB / 1.941GiB,9.59%,2.47MB / 1.16MB,41.3MB / 16.4kB,44
46.04%,190.8MiB / 1.941GiB,9.60%,2.68MB / 1.25MB,41.3MB / 16.4kB,44
7.57%,191MiB / 1.941GiB,9.61%,2.74MB / 1.28MB,41.3MB / 16.4kB,44
18.25%,190.7MiB / 1.941GiB,9.60%,2.91MB / 1.36MB,41.3MB / 16.4kB,44
23.85%,189.7MiB / 1.941GiB,9.55%,3.08MB / 1.43MB,41.3MB / 16.4kB,44
3.44%,189.7MiB / 1.941GiB,9.55%,3.11MB / 1.45MB,41.3MB / 16.4kB,44
6.24%,189.8MiB / 1.941GiB,9.55%,3.26MB / 1.51MB,41.3MB / 16.4kB,44
14.79%,189.9MiB / 1.941GiB,9.56%,3.41MB / 1.58MB,41.4MB / 16.4kB,44
5.64%,189.6MiB / 1.941GiB,9.54%,3.54MB / 1.64MB,41.4MB / 16.4kB,44
21.68%,190MiB / 1.941GiB,9.56%,3.74MB / 1.72MB,41.4MB / 16.4kB,44
3.21%,189.4MiB / 1.941GiB,9.53%,3.87MB / 1.79MB,41.4MB / 16.4kB,44
2.34%,189.5MiB / 1.941GiB,9.53%,4.04MB / 1.86MB,41.4MB / 16.4kB,44
14.41%,189.4MiB / 1.941GiB,9.53%,4.24MB / 1.95MB,41.4MB / 16.4kB,44
0.47%,189.3MiB / 1.941GiB,9.53%,4.27MB / 1.96MB,41.4MB / 16.4kB,43
10.53%,188.1MiB / 1.941GiB,9.47%,4.45MB / 2.04MB,41.4MB / 16.4kB,44
0.51%,187.7MiB / 1.941GiB,9.44%,4.63MB / 2.12MB,41.5MB / 16.4kB,44
31.70%,188.1MiB / 1.941GiB,9.46%,4.93MB / 2.26MB,41.5MB / 16.4kB,44
11.01%,188.1MiB / 1.941GiB,9.47%,5.08MB / 2.32MB,41.5MB / 16.4kB,44
22.54%,188.2MiB / 1.941GiB,9.47%,5.27MB / 2.41MB,41.5MB / 16.4kB,44
8.60%,188.3MiB / 1.941GiB,9.48%,5.39MB / 2.46MB,41.5MB / 16.4kB,44
6.72%,187.9MiB / 1.941GiB,9.46%,5.63MB / 2.56MB,41.6MB / 16.4kB,44
4.18%,187.9MiB / 1.941GiB,9.45%,5.79MB / 2.63MB,41.6MB / 16.4kB,43
0.46%,187.9MiB / 1.941GiB,9.46%,5.91MB / 2.68MB,41.6MB / 16.4kB,44
19.43%,188MiB / 1.941GiB,9.46%,6.24MB / 2.83MB,41.6MB / 16.4kB,44
5.84%,187.4MiB / 1.941GiB,9.43%,6.5MB / 2.94MB,41.6MB / 16.4kB,44
3.47%,187.5MiB / 1.941GiB,9.43%,6.59MB / 2.98MB,41.6MB / 16.4kB,44
24.96%,187.6MiB / 1.941GiB,9.44%,6.99MB / 3.16MB,41.6MB / 16.4kB,44
9.20%,187.6MiB / 1.941GiB,9.44%,7.17MB / 3.24MB,41.6MB / 16.4kB,44
7.48%,187.8MiB / 1.941GiB,9.45%,7.45MB / 3.36MB,41.6MB / 16.4kB,44
8.64%,187.9MiB / 1.941GiB,9.45%,7.72MB / 3.48MB,41.6MB / 16.4kB,44
27.78%,187.9MiB / 1.941GiB,9.46%,7.96MB / 3.58MB,41.6MB / 16.4kB,44
17.01%,188.3MiB / 1.941GiB,9.48%,8.25MB / 3.71MB,42MB / 16.4kB,44
9.35%,188.3MiB / 1.941GiB,9.48%,8.45MB / 3.79MB,42MB / 16.4kB,44
16.50%,188.5MiB / 1.941GiB,9.49%,8.85MB / 3.97MB,42MB / 16.4kB,44
18.95%,189.6MiB / 1.941GiB,9.54%,9.1MB / 4.08MB,43.3MB / 16.4kB,44
8.38%,189.3MiB / 1.941GiB,9.52%,9.36MB / 4.19MB,43.3MB / 16.4kB,44
6.43%,189.4MiB / 1.941GiB,9.53%,9.73MB / 4.36MB,43.3MB / 16.4kB,44
17.61%,189.5MiB / 1.941GiB,9.54%,10.1MB / 4.5MB,43.6MB / 16.4kB,44
6.21%,189.6MiB / 1.941GiB,9.54%,10.3MB / 4.61MB,43.6MB / 16.4kB,44
2.96%,189.6MiB / 1.941GiB,9.54%,10.7MB / 4.76MB,43.6MB / 16.4kB,44
6.49%,189.9MiB / 1.941GiB,9.56%,11MB / 4.9MB,43.7MB / 16.4kB,44
