CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.54%,180.2MiB / 1.941GiB,9.07%,64.6kB / 93.7kB,95.2MB / 49.2kB,51
0.58%,180.2MiB / 1.941GiB,9.07%,64.6kB / 93.7kB,95.2MB / 49.2kB,51
0.91%,180.1MiB / 1.941GiB,9.06%,65.5kB / 95.4kB,95.4MB / 49.2kB,51
0.55%,179.9MiB / 1.941GiB,9.05%,66.3kB / 97.1kB,95.6MB / 49.2kB,51
0.47%,179.6MiB / 1.941GiB,9.04%,66.3kB / 97.1kB,95.6MB / 49.2kB,51
21.75%,183.4MiB / 1.941GiB,9.23%,78.1kB / 109kB,99.7MB / 49.2kB,51
0.57%,182.7MiB / 1.941GiB,9.19%,80kB / 112kB,100MB / 49.2kB,51
0.59%,182.4MiB / 1.941GiB,9.18%,80kB / 112kB,100MB / 49.2kB,51
0.60%,182.4MiB / 1.941GiB,9.18%,80kB / 112kB,100MB / 49.2kB,51
1.01%,182.9MiB / 1.941GiB,9.20%,82.6kB / 117kB,100MB / 49.2kB,51
0.77%,182.6MiB / 1.941GiB,9.19%,83.4kB / 119kB,100MB / 49.2kB,51
0.57%,182MiB / 1.941GiB,9.16%,83.4kB / 119kB,100MB / 49.2kB,51
0.69%,181.6MiB / 1.941GiB,9.14%,83.4kB / 119kB,100MB / 49.2kB,51
4.24%,182MiB / 1.941GiB,9.16%,85.7kB / 121kB,101MB / 49.2kB,51
0.64%,182MiB / 1.941GiB,9.16%,86.1kB / 124kB,101MB / 49.2kB,51
2.99%,182.2MiB / 1.941GiB,9.17%,86.9kB / 126kB,101MB / 49.2kB,51
0.80%,182.1MiB / 1.941GiB,9.16%,88.8kB / 129kB,101MB / 49.2kB,51
3.75%,182.2MiB / 1.941GiB,9.17%,89.6kB / 131kB,101MB / 49.2kB,51
2.71%,182.9MiB / 1.941GiB,9.20%,92.9kB / 138kB,102MB / 49.2kB,51
0.91%,182.8MiB / 1.941GiB,9.20%,93.3kB / 138kB,102MB / 49.2kB,51
15.61%,183MiB / 1.941GiB,9.21%,94.9kB / 141kB,102MB / 49.2kB,51
1.25%,183.2MiB / 1.941GiB,9.22%,96kB / 143kB,102MB / 49.2kB,51
48.29%,198.2MiB / 1.941GiB,9.97%,98.3kB / 147kB,122MB / 49.2kB,51
0.71%,198.3MiB / 1.941GiB,9.98%,100kB / 150kB,122MB / 49.2kB,51
0.45%,198.4MiB / 1.941GiB,9.98%,100kB / 150kB,122MB / 49.2kB,51
0.78%,198.2MiB / 1.941GiB,9.98%,101kB / 152kB,122MB / 49.2kB,51
0.71%,198.3MiB / 1.941GiB,9.98%,102kB / 154kB,122MB / 49.2kB,51
