CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
6.11%,260.2MiB / 1.941GiB,13.09%,541kB / 1.6MB,71.7MB / 28.7kB,45
1.12%,259.5MiB / 1.941GiB,13.06%,545kB / 1.65MB,71.8MB / 28.7kB,45
8.17%,259.3MiB / 1.941GiB,13.05%,553kB / 1.7MB,74.2MB / 28.7kB,45
14.26%,259.6MiB / 1.941GiB,13.06%,564kB / 1.71MB,74.4MB / 28.7kB,45
3.60%,260MiB / 1.941GiB,13.08%,569kB / 1.72MB,75.5MB / 28.7kB,45
7.90%,260.4MiB / 1.941GiB,13.10%,576kB / 1.72MB,76.6MB / 28.7kB,45
10.53%,260.7MiB / 1.941GiB,13.12%,583kB / 1.73MB,78MB / 28.7kB,45
0.76%,260.3MiB / 1.941GiB,13.10%,585kB / 1.73MB,78MB / 28.7kB,45
7.36%,260.8MiB / 1.941GiB,13.12%,598kB / 1.85MB,80.2MB / 28.7kB,45
8.02%,260.9MiB / 1.941GiB,13.13%,609kB / 1.97MB,81.1MB / 28.7kB,45
5.59%,260.9MiB / 1.941GiB,13.13%,615kB / 1.98MB,81.5MB / 28.7kB,45
3.05%,260.6MiB / 1.941GiB,13.11%,621kB / 1.98MB,81.6MB / 28.7kB,45
1.07%,260.4MiB / 1.941GiB,13.11%,627kB / 1.99MB,81.9MB / 28.7kB,45
1.80%,259.9MiB / 1.941GiB,13.08%,636kB / 2.11MB,81.9MB / 28.7kB,45
6.86%,260.2MiB / 1.941GiB,13.09%,644kB / 2.12MB,82.6MB / 28.7kB,45
11.32%,260.8MiB / 1.941GiB,13.12%,651kB / 2.13MB,86.6MB / 28.7kB,45
1.92%,260.7MiB / 1.941GiB,13.12%,658kB / 2.13MB,86.8MB / 28.7kB,45
9.26%,261.1MiB / 1.941GiB,13.14%,669kB / 2.2MB,88.7MB / 28.7kB,45
7.41%,260.5MiB / 1.941GiB,13.11%,678kB / 2.27MB,89MB / 28.7kB,45
1.67%,260.4MiB / 1.941GiB,13.11%,685kB / 2.28MB,89.3MB / 28.7kB,45
1.82%,260.3MiB / 1.941GiB,13.10%,692kB / 2.29MB,89.7MB / 28.7kB,45
2.54%,260.2MiB / 1.941GiB,13.09%,699kB / 2.29MB,89.8MB / 28.7kB,45
2.14%,260.3MiB / 1.941GiB,13.10%,703kB / 2.3MB,90.2MB / 28.7kB,45
6.59%,260.5MiB / 1.941GiB,13.11%,711kB / 2.43MB,91.4MB / 28.7kB,45
5.59%,261.2MiB / 1.941GiB,13.15%,724kB / 2.51MB,93.2MB / 28.7kB,45
9.29%,260.7MiB / 1.941GiB,13.12%,732kB / 2.52MB,93.6MB / 28.7kB,45
1.88%,260.3MiB / 1.941GiB,13.10%,738kB / 2.53MB,93.8MB / 28.7kB,45
6.13%,260.3MiB / 1.941GiB,13.10%,746kB / 2.6MB,94.2MB / 28.7kB,45
6.03%,260.2MiB / 1.941GiB,13.10%,753kB / 2.61MB,94.7MB / 28.7kB,45
1.63%,259.8MiB / 1.941GiB,13.07%,757kB / 2.61MB,97.4MB / 28.7kB,45
6.08%,260.8MiB / 1.941GiB,13.12%,768kB / 2.69MB,99.8MB / 28.7kB,45
8.32%,260.5MiB / 1.941GiB,13.11%,775kB / 2.77MB,102MB / 28.7kB,45
1.88%,260.1MiB / 1.941GiB,13.09%,781kB / 2.78MB,102MB / 28.7kB,45
5.98%,260.3MiB / 1.941GiB,13.10%,792kB / 2.79MB,102MB / 28.7kB,45
13.95%,260.5MiB / 1.941GiB,13.11%,801kB / 2.87MB,103MB / 28.7kB,45
2.74%,260.4MiB / 1.941GiB,13.10%,807kB / 2.88MB,104MB / 28.7kB,45
15.12%,260.1MiB / 1.941GiB,13.09%,814kB / 2.88MB,105MB / 28.7kB,45
4.70%,260.5MiB / 1.941GiB,13.11%,824kB / 2.97MB,107MB / 28.7kB,45
1.83%,260.4MiB / 1.941GiB,13.10%,830kB / 3.05MB,107MB / 28.7kB,45
9.36%,260.5MiB / 1.941GiB,13.11%,841kB / 3.06MB,108MB / 28.7kB,45
2.90%,260.5MiB / 1.941GiB,13.11%,845kB / 3.15MB,109MB / 28.7kB,45
2.47%,260.4MiB / 1.941GiB,13.10%,850kB / 3.15MB,109MB / 28.7kB,45
2.26%,260.6MiB / 1.941GiB,13.11%,861kB / 3.24MB,110MB / 28.7kB,45
10.65%,259.8MiB / 1.941GiB,13.07%,871kB / 3.33MB,114MB / 28.7kB,45
3.29%,260.2MiB / 1.941GiB,13.10%,877kB / 3.34MB,117MB / 28.7kB,45
4.17%,260.3MiB / 1.941GiB,13.10%,890kB / 3.44MB,120MB / 28.7kB,45
0.97%,260.1MiB / 1.941GiB,13.09%,892kB / 3.44MB,120MB / 28.7kB,45
7.00%,259.7MiB / 1.941GiB,13.07%,900kB / 3.53MB,122MB / 28.7kB,45
5.87%,263.1MiB / 1.941GiB,13.24%,916kB / 3.63MB,138MB / 28.7kB,45
0.84%,260.7MiB / 1.941GiB,13.12%,917kB / 3.63MB,138MB / 28.7kB,45
3.62%,260.2MiB / 1.941GiB,13.09%,925kB / 3.64MB,139MB / 28.7kB,45
5.36%,260.9MiB / 1.941GiB,13.13%,934kB / 3.65MB,146MB / 28.7kB,45
5.07%,260.3MiB / 1.941GiB,13.10%,940kB / 3.74MB,147MB / 28.7kB,45
6.97%,260.9MiB / 1.941GiB,13.13%,953kB / 3.85MB,153MB / 28.7kB,45
4.08%,262.2MiB / 1.941GiB,13.19%,962kB / 3.95MB,156MB / 28.7kB,45
1.24%,260.1MiB / 1.941GiB,13.09%,966kB / 3.95MB,156MB / 28.7kB,45
3.62%,260MiB / 1.941GiB,13.08%,973kB / 3.96MB,159MB / 28.7kB,45
4.87%,260.1MiB / 1.941GiB,13.09%,982kB / 4.06MB,163MB / 28.7kB,45
7.80%,260.1MiB / 1.941GiB,13.09%,994kB / 4.26MB,166MB / 28.7kB,45
1.61%,259.9MiB / 1.941GiB,13.08%,999kB / 4.26MB,166MB / 28.7kB,45
4.87%,261.6MiB / 1.941GiB,13.16%,1.01MB / 4.28MB,172MB / 28.7kB,45
4.76%,260.5MiB / 1.941GiB,13.11%,1.02MB / 4.28MB,173MB / 28.7kB,45
27.41%,261.7MiB / 1.941GiB,13.17%,1.03MB / 4.39MB,179MB / 28.7kB,45
23.99%,261.7MiB / 1.941GiB,13.17%,1.04MB / 4.6MB,188MB / 28.7kB,45
9.83%,261.9MiB / 1.941GiB,13.18%,1.04MB / 4.6MB,193MB / 28.7kB,45
25.49%,263.5MiB / 1.941GiB,13.26%,1.05MB / 4.61MB,202MB / 28.7kB,45
11.22%,261.6MiB / 1.941GiB,13.17%,1.06MB / 4.72MB,208MB / 28.7kB,45
7.35%,262.7MiB / 1.941GiB,13.22%,1.07MB / 4.73MB,222MB / 28.7kB,45
1.47%,261.1MiB / 1.941GiB,13.14%,1.07MB / 4.73MB,226MB / 28.7kB,45
3.03%,261.5MiB / 1.941GiB,13.16%,1.08MB / 4.74MB,229MB / 28.7kB,45
50.15%,265.4MiB / 1.941GiB,13.35%,1.1MB / 4.86MB,235MB / 28.7kB,45
1.43%,259.6MiB / 1.941GiB,13.06%,1.1MB / 4.97MB,239MB / 28.7kB,45
1.44%,266.1MiB / 1.941GiB,13.39%,1.11MB / 4.97MB,242MB / 28.7kB,45
7.89%,260.3MiB / 1.941GiB,13.10%,1.12MB / 5.09MB,246MB / 28.7kB,45
0.86%,259.7MiB / 1.941GiB,13.07%,1.12MB / 5.09MB,247MB / 28.7kB,45
2.31%,260.2MiB / 1.941GiB,13.09%,1.13MB / 5.21MB,249MB / 28.7kB,45
8.12%,262.1MiB / 1.941GiB,13.19%,1.14MB / 5.34MB,258MB / 28.7kB,45
2.70%,260MiB / 1.941GiB,13.08%,1.15MB / 5.34MB,259MB / 28.7kB,45
1.67%,260.7MiB / 1.941GiB,13.12%,1.16MB / 5.35MB,263MB / 28.7kB,45
0.98%,260.1MiB / 1.941GiB,13.09%,1.16MB / 5.36MB,268MB / 28.7kB,45
0.75%,260.1MiB / 1.941GiB,13.09%,1.17MB / 5.36MB,269MB / 28.7kB,45
3.83%,261.1MiB / 1.941GiB,13.14%,1.17MB / 5.47MB,272MB / 28.7kB,45
1.40%,259.9MiB / 1.941GiB,13.08%,1.17MB / 5.48MB,272MB / 28.7kB,45
0.84%,259.7MiB / 1.941GiB,13.07%,1.17MB / 5.59MB,275MB / 28.7kB,45
10.02%,263.9MiB / 1.941GiB,13.28%,1.18MB / 5.71MB,287MB / 28.7kB,45
0.66%,261.2MiB / 1.941GiB,13.14%,1.18MB / 5.72MB,291MB / 28.7kB,45
16.67%,257.8MiB / 1.941GiB,12.97%,1.2MB / 5.96MB,402MB / 28.7kB,45
0.38%,257.8MiB / 1.941GiB,12.97%,1.2MB / 6.08MB,402MB / 28.7kB,45
0.26%,257.8MiB / 1.941GiB,12.97%,1.21MB / 6.08MB,402MB / 28.7kB,45
0.45%,257.8MiB / 1.941GiB,12.97%,1.21MB / 6.09MB,402MB / 28.7kB,45
1.93%,257.8MiB / 1.941GiB,12.97%,1.21MB / 6.21MB,402MB / 28.7kB,45
0.45%,257.6MiB / 1.941GiB,12.96%,1.22MB / 6.21MB,402MB / 28.7kB,45
